ID,Category,Garrison,BidDate,Remarks,Sort,Status,OperationDate
1,NEW,東千歳,R8.9.11,,1,公告反映済,
2,NEW,北千歳,R8.9.10,,2,公告反映済,
3,NEW,名寄,R8.9.7,,3,公告反映済,
4,NEW,東千歳,R8.9.7,,4,公告反映済,
5,NEW,旭川,R8.10.6,,5,公告反映済,
6,NEW,名寄,R8.9.7,,6,公告反映済,
7,NEW,南恵庭,R8.9.7,,7,公告反映済,
8,NEW,南恵庭,R8.9.7,,8,公告反映済,
9,NEW,函館,R8.9.14,,9,公告反映済,
10,NEW,南恵庭,R8.9.7,,10,公告反映済,
